,Unnamed: 0.1,Unnamed: 0,repository,topic,open_issues_count,open_issues,pushed_at,updated_at,created_at,fork_count,stargazer_count,description,fork,language
516,2025,2025,cdapio/cdap,"['cdap', 'dataset', 'integration', 'java', 'java-8', 'mapreduce', 'middleware', 'platform', 'python', 'spark', 'spark-streaming', 'unified']",72.0,72.0,2022-06-03T22:15:52Z,2022-06-04T08:20:42Z,2014-08-02T09:00:10Z,306.0,641.0,An open source framework for building data analytic applications.,False,Java
517,2026,2026,Part-DB/Part-DB-symfony,"['electronics', 'managment', 'mysql', 'part-db', 'php', 'symfony', 'symfony4']",44.0,44.0,2022-04-28T19:07:27Z,2022-05-31T21:07:25Z,2019-02-23T21:42:20Z,22.0,114.0,[WIP] A new Part-DB experience based on Symfony4,False,PHP
518,2043,2043,gradle/gradle,"['build-tool', 'gradle']",2125.0,2125.0,2022-06-04T12:48:08Z,2022-06-04T12:46:33Z,2009-09-09T18:27:19Z,3893.0,13445.0,"Adaptable, fast automation for all",False,Groovy
519,2045,2045,AzuraCast/AzuraCast,"['icecast', 'liquidsoap', 'radio', 'radio-station', 'shoutcast', 'station', 'streaming', 'webcast']",103.0,103.0,2022-06-04T11:03:05Z,2022-06-04T12:31:01Z,2016-04-30T21:41:23Z,454.0,1968.0,"A self-hosted web radio management suite, including turnkey installer tools for the full radio software stack and a modern, easy-to-use web app to manage your stations.",False,PHP
520,2047,2047,facebook/facebook-sdk-for-unity,[],337.0,337.0,2022-06-03T00:08:43Z,2022-05-31T16:18:19Z,2015-09-01T22:11:09Z,256.0,391.0,The facebook sdk for unity.,False,C++
521,2049,2049,rsocket/rsocket-js,[],37.0,37.0,2022-05-08T20:56:31Z,2022-06-03T09:03:00Z,2017-04-12T20:22:10Z,91.0,490.0,JavaScript implementation of RSocket,False,TypeScript
522,2050,2050,facebookincubator/SocketRocket,[],154.0,154.0,2021-09-26T07:54:54Z,2022-06-04T09:12:33Z,2012-01-30T00:21:34Z,1959.0,9341.0,A conforming Objective-C WebSocket client library.,False,Objective-C
523,2051,2051,facebook/homebrew-fb,[],10.0,10.0,2022-03-21T08:02:23Z,2022-04-24T12:55:25Z,2015-09-13T20:14:42Z,186.0,111.0,OS X Homebrew formulas to install Facebook open source software,False,Ruby
524,2052,2052,facebook/instant-articles-builder,"['editor', 'facebook', 'instant-articles']",39.0,39.0,2022-05-30T12:54:01Z,2022-05-24T20:44:27Z,2017-11-13T22:59:25Z,58.0,118.0,Instant Articles Rules Editor,False,JavaScript
525,2055,2055,facebook/prophet,"['forecasting', 'python', 'r']",222.0,222.0,2022-06-04T05:02:36Z,2022-06-03T15:40:01Z,2016-11-16T01:50:08Z,4210.0,14514.0,Tool for producing high quality forecasts for time series data that has multiple seasonality with linear or non-linear growth.,False,Python
526,2061,2061,BoltsFramework/Bolts-Swift,[],13.0,13.0,2021-08-30T21:25:26Z,2022-04-24T13:30:31Z,2016-03-17T16:31:15Z,131.0,1308.0,Bolts is a collection of low-level libraries designed to make developing mobile apps easier.,False,Swift
527,2062,2062,flow/flow-bin,[],3.0,3.0,2022-05-26T03:07:11Z,2022-05-11T23:21:04Z,2014-11-18T21:56:06Z,49.0,533.0,Binary wrapper for Flow - A static type checker for JavaScript,False,Makefile
