,Unnamed: 0.1,Unnamed: 0,repository,topic,open_issues_count,open_issues,pushed_at,updated_at,created_at,fork_count,stargazer_count,description,fork,language
23736,229283,229325,mathjax/MathJax,"['accessibility', 'asciimath-notation', 'css', 'html', 'javascript', 'latex', 'mathematics', 'mathjax', 'mathml', 'svg', 'typography']",274.0,274.0,2022-06-02T18:20:44Z,2022-06-04T15:36:53Z,2010-08-19T03:28:53Z,1143.0,8851.0,Beautiful and accessible math in all browsers,False,
23737,229298,229340,facebookresearch/WSL-Images,[],19.0,19.0,2021-10-14T01:35:24Z,2022-05-30T18:05:19Z,2019-06-11T23:15:31Z,64.0,585.0,Weakly Supervised Learning On Images,False,Python
23738,229332,229374,magento/security-package,[],5.0,5.0,2022-06-01T23:03:35Z,2022-04-23T21:41:08Z,2019-06-11T20:36:32Z,60.0,53.0,Magento Security Extensions,False,PHP
23739,229342,229384,GrahamCampbell/Laravel-Bitbucket,['hacktoberfest'],1.0,1.0,2022-05-31T11:23:19Z,2021-12-21T10:29:36Z,2016-06-09T14:06:09Z,25.0,71.0,A Bitbucket API bridge for Laravel,False,PHP
23740,229374,229416,dailydotdev/daily-go,"['daily', 'pwa', 'vue']",3.0,3.0,2021-02-02T10:50:18Z,2021-12-16T17:13:34Z,2018-08-31T13:38:38Z,12.0,21.0,Daily Go progressive web app with toilet mode 🚽,False,Vue
23741,229377,229419,dailydotdev/daily-apps,"['daily', 'frontend', 'lerna', 'monorepo', 'vue']",2.0,2.0,2021-05-30T07:49:56Z,2022-05-10T04:26:28Z,2018-10-28T16:15:07Z,54.0,153.0,Everything you see on Daily 👀,False,JavaScript
23742,229381,229423,dailydotdev/daily-functions,"['cloudinary', 'daily', 'google-cloud-functions', 'nodejs', 'onesignal']",10.0,10.0,2022-06-02T21:05:40Z,2022-05-09T18:55:27Z,2018-07-14T08:45:29Z,14.0,18.0,Google Cloud Functions which power Daily content ingestion pipeline,False,JavaScript
23743,229385,229427,google-research/tf-slim,[],9.0,9.0,2022-06-01T23:07:53Z,2022-05-27T16:46:58Z,2019-06-28T00:21:28Z,92.0,301.0,,False,Python
23744,229392,229434,adobe-research/CHART-Synthetic,[],1.0,1.0,2019-06-21T16:24:03Z,2022-04-02T04:22:34Z,2019-06-21T15:46:40Z,10.0,16.0,Synthetic Dataset used in the ICDAR2019 Competition on HArvesting Raw Tables from Infographics (CHART-Infographics),False,Python
23745,229400,229442,sentinel-official/dvpn-node,"['dvpn', 'sentinel', 'vpn', 'wireguard']",28.0,28.0,2022-06-04T14:46:01Z,2022-06-01T02:49:22Z,2019-06-25T10:05:18Z,23.0,71.0,The official Sentinel dVPN node,False,Go
23746,229413,229455,ajmwagar/merino,"['proxy', 'proxy-server', 'socks5', 'socks5-proxy', 'socks5-server']",6.0,6.0,2022-05-19T03:45:56Z,2022-05-29T23:58:14Z,2019-06-19T05:16:36Z,43.0,187.0,:sheep: A SOCKS5 Proxy server written in Rust,False,Rust
23747,229437,229479,GrahamCampbell/Laravel-Exceptions,['hacktoberfest'],1.0,1.0,2022-05-30T22:23:20Z,2022-06-02T09:06:59Z,2014-11-19T21:21:00Z,55.0,578.0,Provides a powerful error response system for Laravel,False,PHP
23748,229443,229485,GrahamCampbell/Laravel-GitLab,['hacktoberfest'],0.0,0.0,2022-05-31T11:25:39Z,2022-05-31T11:57:39Z,2018-03-03T19:55:50Z,20.0,121.0,A GitLab API bridge for Laravel,False,PHP
23749,229446,229488,creativecommons/openpolicynetwork.org,[],0.0,0.0,2022-04-28T16:14:34Z,2022-04-28T16:14:38Z,2014-02-24T19:46:28Z,10.0,3.0,OPN Website,False,PHP
23750,229450,229492,salesforce/cos-e,[],3.0,3.0,2021-10-12T18:55:43Z,2022-03-17T19:11:19Z,2019-06-16T23:31:08Z,17.0,135.0,Commonsense Explanations Dataset and Code,False,Python
23751,229462,229504,GrahamCampbell/Laravel-Binput,['hacktoberfest'],0.0,0.0,2022-05-30T21:43:10Z,2022-05-13T12:44:44Z,2013-08-13T19:15:44Z,20.0,156.0,An input protector for Laravel,False,PHP
23752,229480,229522,usercamp/midi,"['midi', 'midi-controller', 'midi-messages']",20.0,20.0,2022-02-03T04:28:20Z,2022-05-23T01:59:42Z,2019-06-06T20:44:39Z,18.0,67.0,MIDI CC & NRPN database,False,
23753,229500,229542,GrahamCampbell/Laravel-Security,['hacktoberfest'],0.0,0.0,2022-05-30T21:28:47Z,2022-05-13T12:45:01Z,2013-08-13T19:34:25Z,29.0,155.0,A wrapper of voku/anti-xss for Laravel,False,PHP
23754,229510,229552,GrahamCampbell/Laravel-GitHub,['hacktoberfest'],1.0,1.0,2022-05-31T11:24:04Z,2022-05-31T07:41:06Z,2014-07-26T14:55:40Z,104.0,518.0,A GitHub API bridge for Laravel,False,PHP
23755,229511,229553,creativecommons/cc.api,[],4.0,4.0,2022-04-28T15:00:08Z,2022-05-02T12:44:50Z,2013-12-02T21:01:41Z,10.0,3.0,Legacy API to integrate the Creative Commons licensing engine into third party applications,False,Python
23756,229515,229557,creativecommons/new-www-plugin,[],0.0,0.0,2022-04-28T17:31:08Z,2022-04-28T17:31:11Z,2016-05-19T18:06:55Z,13.0,5.0,"creativecommons.org various custom plugins for content types, mostly",False,PHP
23757,229526,229568,GrahamCampbell/Laravel-Markdown,['hacktoberfest'],0.0,0.0,2022-05-30T21:38:17Z,2022-06-03T10:23:50Z,2013-12-10T22:03:54Z,135.0,1191.0,A CommonMark wrapper for Laravel,False,PHP
23758,229541,229583,OpenCTI-Platform/connectors,"['cti', 'cybersecurity', 'misp', 'mitre-attack', 'threat-intelligence']",81.0,81.0,2022-06-03T17:37:03Z,2022-06-04T07:42:19Z,2019-06-18T21:22:05Z,163.0,147.0,OpenCTI connectors,False,Python
23759,229554,229596,creativecommons/cc.licenserdf,[],7.0,7.0,2022-04-28T17:18:04Z,2022-04-28T14:04:52Z,2013-09-15T21:56:33Z,19.0,11.0,RDF describing Creative Commons licenses,False,Python
23760,229558,229600,eigenfoo/tests-as-linear,"['linear-models', 'python', 'scipy', 'statistical-tests', 'statsmodels']",5.0,5.0,2021-11-08T18:30:47Z,2022-04-15T15:43:20Z,2019-06-23T08:59:28Z,18.0,62.0,"Python port of ""Common statistical tests are linear models"" by Jonas Kristoffer Lindeløv.",False,HTML
23761,229562,229604,Astrotomic/laravel-translatable,"['database', 'eloquent', 'hacktoberfest', 'language', 'laravel', 'laravel-translatable', 'multilanguage', 'multilingual', 'multilingual-models', 'package', 'php', 'php7', 'translated-attributes', 'translation', 'treeware']",18.0,18.0,2022-04-15T08:24:43Z,2022-06-02T07:46:19Z,2019-06-17T11:27:13Z,114.0,854.0,A Laravel package for multilingual models,False,PHP
23762,229567,229609,GrahamCampbell/Laravel-Flysystem,['hacktoberfest'],1.0,1.0,2022-05-30T21:41:42Z,2022-04-28T03:59:46Z,2014-01-09T12:35:17Z,88.0,492.0,A Flysystem bridge for Laravel,False,PHP
23763,229574,229616,GrahamCampbell/Laravel-Manager,['hacktoberfest'],0.0,0.0,2022-05-30T21:06:59Z,2022-05-31T15:40:36Z,2014-05-15T21:41:54Z,30.0,371.0,Providing some manager functionality for Laravel,False,PHP
23764,229576,229618,GrahamCampbell/Laravel-DigitalOcean,['hacktoberfest'],0.0,0.0,2022-05-31T11:22:08Z,2022-06-01T09:17:04Z,2014-07-24T18:17:15Z,73.0,415.0,A DigitalOcean API bridge for Laravel,False,PHP
23765,229578,229620,GrahamCampbell/Laravel-Throttle,['hacktoberfest'],0.0,0.0,2022-05-30T21:27:40Z,2022-06-01T09:02:46Z,2013-12-25T16:03:33Z,58.0,663.0,A rate limiter for Laravel,False,PHP
23766,229586,229628,creativecommons/termination-of-transfer,[],5.0,5.0,2022-05-25T23:08:51Z,2022-05-30T10:54:42Z,2015-11-24T16:21:12Z,39.0,18.0,Termination of Transfer tool,False,JavaScript
23767,229588,229630,nikhildsahu/E-Certify,"['blockchain', 'blockchain-technology', 'certificate', 'certificate-transparency', 'dapp', 'decentralized', 'ethereum', 'ethereum-dapp', 'ipfs', 'multisig', 'reactjs', 'smart-contracts', 'solidity', 'truffle']",14.0,14.0,2022-02-26T09:56:55Z,2022-06-01T14:04:41Z,2019-02-22T14:24:48Z,26.0,41.0,Blockchain Based Certificate Validation,False,JavaScript
