,Unnamed: 0.1,Unnamed: 0,repository,topic,open_issues_count,open_issues,pushed_at,updated_at,created_at,fork_count,stargazer_count,description,fork,language
7224,35176,35182,hundredrabbits/Left,"['editor', 'text', 'text-editor', 'writing-app', 'writing-application']",31.0,31.0,2022-03-25T18:21:10Z,2022-05-26T20:22:36Z,2017-06-24T00:28:00Z,142.0,1612.0,Distractionless Writing Tool,False,JavaScript
7225,35211,35217,ariabid/vuejs-css3-image-filter,"['bootstrap4', 'css3-filter', 'downloadable-image', 'image-filters', 'vuejs2']",17.0,17.0,2022-05-31T23:42:27Z,2021-11-17T08:03:53Z,2018-02-07T08:46:27Z,11.0,18.0,A small app built with Vue.js to apply CSS3 filter functions to images.,False,Vue
7226,35215,35221,cboard-org/cboard,"['aac', 'accessibility', 'assistive-technology', 'autism', 'cerebral-palsy', 'communication', 'communication-board', 'disabilities', 'javascript', 'progressive-web-app', 'react', 'speech', 'symbols', 'text-to-speech', 'tts']",87.0,87.0,2022-06-03T16:28:52Z,2022-06-04T21:01:09Z,2017-02-10T15:00:45Z,131.0,555.0,Augmentative and Alternative Communication (AAC) communication system with text-to-speech for the browser,False,JavaScript
7227,35217,35223,nimiq/jungle-db,[],7.0,7.0,2022-03-24T01:07:19Z,2022-02-23T16:47:16Z,2017-07-19T16:09:00Z,13.0,42.0,A simple database abstraction layer for NodeJS (LMDB and LevelDB) and Browsers (IndexedDB) supporting advanced features such as transactions with read-isolation and secondary indices.,False,JavaScript
7228,35219,35225,151376liujie/wechat-core,"['message-handler', 'message-processor', 'wechat', 'wechat-framework', 'wechat-mp', 'weixin-mp']",12.0,12.0,2022-05-25T02:36:00Z,2022-02-11T09:56:36Z,2016-08-08T16:10:03Z,66.0,104.0,基于Java的轻量级微信公众号消息处理框架，使业务代码与微信消息处理框架代码解耦，并采用注解来简化开发！！！也算是本项目的一个小亮点吧！！,False,Java
7229,35220,35226,DAVFoundation/n3m0,[],0.0,0.0,2019-02-11T09:36:23Z,2022-02-05T11:18:47Z,2018-01-29T17:28:20Z,12.0,17.0,🚤 Autonomous boat payload computer ,False,Python
7230,35221,35227,getodk/briefcase,"['data-collection', 'global-development', 'global-health', 'java', 'mobile-data-collection', 'odk', 'social-impact', 'xforms']",84.0,84.0,2022-04-15T22:19:27Z,2022-04-25T08:35:37Z,2015-08-06T19:01:59Z,146.0,62.0,ODK Briefcase is a Java application for fetching and pushing forms and their contents. It helps make billions of data points from ODK portable. Contribute and make the world a better place! ✨💼✨,False,Java
7231,35227,35233,ropensci/osfr,"['open-science', 'osf', 'reproducible-research']",15.0,15.0,2022-05-27T16:57:24Z,2022-05-24T13:48:40Z,2015-09-11T20:07:19Z,27.0,126.0,R interface to the Open Science Framework (OSF),False,R
7232,35230,35236,HTTP-APIs/hydrus,"['flask', 'python', 'rest', 'rest-api', 'restful-api']",16.0,16.0,2022-03-04T13:19:06Z,2022-02-14T08:42:34Z,2016-12-13T09:11:38Z,135.0,188.0,REST server - Flask Hydra-powered for Semantic Web,False,Python
7233,35231,35237,karatelabs/karate,"['api-testing', 'assertions', 'automated-testing', 'automation', 'bdd', 'contract-testing', 'cucumber', 'developer-tools', 'load-testing', 'microservices', 'mock-server', 'test-automation', 'testing', 'testing-framework', 'testing-tools', 'webdriver']",28.0,28.0,2022-06-04T18:05:57Z,2022-06-04T10:39:02Z,2017-02-07T15:59:17Z,1557.0,5961.0,Test Automation Made Simple,False,Java
7234,35233,35239,ember-engines/ember-engines,"['ember', 'ember-cli', 'ember-engines']",152.0,152.0,2022-05-16T23:10:56Z,2022-05-19T14:32:38Z,2015-12-14T22:56:28Z,134.0,491.0,Composable Ember applications for ambitious user experiences,False,JavaScript
7235,35234,35240,npm/jobs,[],1.0,1.0,2019-01-29T00:39:27Z,2022-02-16T08:55:40Z,2015-02-05T05:07:56Z,12.0,40.0,,False,
7236,35235,35241,skatejs/skatejs,"['javascript', 'reactiveui', 'web-components']",29.0,29.0,2022-02-26T01:34:54Z,2022-06-01T07:05:08Z,2014-02-01T00:32:47Z,158.0,3242.0,Effortless custom elements powered by modern view libraries.,False,JavaScript
7237,35240,35246,lalrpop/lalrpop,"['grammar', 'parser-generator', 'rust']",162.0,162.0,2022-05-31T21:06:09Z,2022-06-04T04:26:53Z,2015-06-12T19:41:37Z,230.0,2117.0,LR(1) parser generator for Rust,False,Rust
