,Unnamed: 0.1,Unnamed: 0,repository,topic,open_issues_count,open_issues,pushed_at,updated_at,created_at,fork_count,stargazer_count,description,fork,language
20124,175018,175050,AdvancedHacker101/Bypass-Uac,"['c-plus-plus', 'c-sharp', 'uac', 'uac-bypass', 'windows-7']",1.0,1.0,2018-08-04T18:33:14Z,2021-10-27T21:00:20Z,2017-06-23T13:54:07Z,22.0,27.0,Small utility written in c++ to bypass windows UAC prompt,False,C
20125,175022,175054,tazjin/kubernetes-letsencrypt,"['kotlin', 'kubernetes', 'kubernetes-controller', 'letsencrypt']",11.0,11.0,2018-11-22T16:09:28Z,2022-05-02T22:00:11Z,2016-09-17T23:11:08Z,14.0,116.0,A Kubernetes controller to retrieve Let's Encrypt certificates based on service annotations (unmaintained),False,Kotlin
20126,175055,175087,Bionus/imgbrd-grabber,"['booru', 'danbooru', 'downloader', 'gelbooru', 'grabber', 'imageboard']",372.0,372.0,2022-06-01T23:01:37Z,2022-06-04T02:35:05Z,2015-03-15T18:26:31Z,154.0,1345.0,Very customizable imageboard/booru downloader with powerful filenaming features.,False,C++
20127,175056,175088,GioBonvi/GoogleContactsEventsNotifier,"['birthday', 'contacts-birthday', 'email-notification', 'email-notifications', 'google', 'google-birthday-notifier', 'google-calendar', 'google-contacts', 'google-script', 'google-scripts', 'notifications']",15.0,15.0,2022-05-18T16:36:24Z,2022-05-31T06:30:02Z,2016-12-07T22:51:22Z,50.0,195.0,Receive automatic email notifications before your Google Contacts birthday and other events!,False,JavaScript
20128,175076,175108,snorkel-team/snorkel-extraction,[],0.0,0.0,2019-09-09T19:43:15Z,2022-05-11T23:20:58Z,2019-08-12T23:00:32Z,27.0,33.0,A previous version of Snorkel focused on information extraction,False,Jupyter Notebook
20129,175102,175134,faust-streaming/faust,"['asyncio', 'distributed-systems', 'kafka', 'python-streaming', 'redis']",83.0,83.0,2022-06-03T22:52:37Z,2022-06-03T15:18:37Z,2020-10-22T15:32:50Z,104.0,531.0,Python Stream Processing. A Faust fork,False,Python
20130,175103,175135,vazco/uniforms,"['component-library', 'components', 'form-builder', 'form-controls', 'forms', 'hacktoberfest', 'meteor', 'react', 'react-components', 'react-library']",18.0,18.0,2022-06-03T12:27:02Z,2022-05-31T04:15:50Z,2016-05-10T13:08:50Z,215.0,1583.0,A React library for building forms from any schema.,False,TypeScript
20131,175104,175136,evincarofautumn/kitten,"['concatenative', 'effects', 'forth', 'haskell', 'language', 'programming-language', 'static-types']",65.0,65.0,2020-11-03T20:04:33Z,2022-06-03T17:00:48Z,2011-12-20T04:17:17Z,41.0,975.0,A statically typed concatenative systems programming language.,False,Haskell
20132,175105,175137,Akshat4112/SchoolErp,"['accounts', 'bootstrap', 'charts', 'enterprise-software', 'erp', 'expenses', 'fees', 'googleapi', 'graphs', 'marks', 'php', 'results', 'students']",13.0,13.0,2021-09-30T15:40:24Z,2022-05-30T20:24:20Z,2017-05-22T15:56:04Z,135.0,142.0,"SchoolERP Project is School ERP System which has various features as students management,accounts management,attendance management,faculty management,HR management,other expenses management",False,PHP
20133,175106,175138,peppeocchi/php-cron-scheduler,"['php-cron-scheduler', 'schedule', 'scheduled-jobs', 'scheduler-commands', 'schedules-execution']",27.0,27.0,2022-04-14T16:49:03Z,2022-05-25T19:00:49Z,2015-06-30T10:22:55Z,119.0,648.0,PHP cron job scheduler,False,PHP
20134,175128,175160,robinhood/faust,"['asyncio', 'distributed-systems', 'kafka', 'kafka-streams', 'python', 'stream-processing']",271.0,271.0,2022-06-02T10:04:37Z,2022-06-02T10:09:19Z,2017-03-08T18:36:11Z,536.0,6178.0,Python Stream Processing,False,Python
20135,175134,175166,johnmichel/Library-Detector-for-Chrome,"['browser-extension', 'chrome', 'detection', 'javascript', 'javascript-framework', 'javascript-libraries', 'library-detector', 'web']",18.0,18.0,2022-05-03T19:41:47Z,2022-06-02T20:00:16Z,2010-01-30T15:15:09Z,102.0,595.0,🔍  Extension that detects which JavaScript libraries are running on a page,False,JavaScript
20136,175135,175167,Topl/Bifrost,"['blockchain', 'blockchain-protocol', 'cryptocurrency', 'scala']",91.0,91.0,2022-06-04T00:43:20Z,2022-05-14T13:52:51Z,2017-05-12T22:23:59Z,11.0,59.0,A Scala (Scorex 2) client for the Topl blockchain protocol,False,Scala
20137,175153,175185,luantty2/qmk,[],2.0,2.0,2020-06-26T12:13:48Z,2021-10-07T13:54:07Z,2020-05-10T06:55:00Z,12.0,3.0,,False,C
20138,175155,175187,feiskyer/sdn-handbook,"['books', 'cni', 'containers', 'handbook', 'networking', 'sdn', 'sdn-handbook']",0.0,0.0,2020-12-08T02:09:33Z,2022-06-02T07:25:21Z,2017-05-14T12:20:27Z,343.0,1049.0,SDN网络指南（SDN Handbook）,False,C
20139,175174,175206,ossrs/srs-gb28181,[],47.0,47.0,2022-03-24T06:09:08Z,2022-06-01T06:59:46Z,2022-01-05T02:31:13Z,26.0,37.0,GB28181 server based on SRS,False,C++
20140,175195,175227,bl4ckb0ne/delaunay-triangulation,"['algorithm', 'c-plus-plus', 'cpp', 'cpp11', 'delaunay-triangulation', 'library', 'triangulation']",7.0,7.0,2020-10-01T19:30:54Z,2022-05-31T16:20:42Z,2015-11-02T17:23:43Z,107.0,386.0,C++ version the delaunay triangulation,False,C++
20141,175245,175277,edgardleal/require-vuejs,"['amd', 'async', 'dynamic', 'javascript', 'require', 'requirejs', 'requirejs-plugin', 'vue', 'vue-components', 'vuejs', 'vuejs2']",13.0,13.0,2019-03-07T17:37:13Z,2022-02-25T07:34:56Z,2017-03-07T00:47:47Z,29.0,146.0,RequireJS plugin to async and dynamic load and parse .vue components ,False,JavaScript
