,Unnamed: 0.1,Unnamed: 0,repository,topic,open_issues_count,open_issues,pushed_at,updated_at,created_at,fork_count,stargazer_count,description,fork,language
3096,13302,13303,DongyunLee/SM3-PHP,"['composer-library', 'php', 'php5', 'php7', 'sm3']",6.0,6.0,2022-02-11T10:31:09Z,2022-05-16T03:30:53Z,2019-10-12T09:51:33Z,17.0,73.0,国密标准SM3的PHP实现,False,PHP
3097,13307,13308,Electrostatics/pdb2pqr,"['bioinformatics', 'biophysics', 'chemistry']",25.0,25.0,2022-05-09T00:52:48Z,2022-05-07T02:17:46Z,2020-06-29T17:49:20Z,16.0,38.0,"PDB2PQR - determining titration states, adding missing atoms, and assigning charges/radii to biomolecules.",False,Python
3098,13316,13317,tunisiano187/Chocolatey-packages,[],3.0,3.0,2022-06-04T07:37:10Z,2022-05-19T06:50:06Z,2020-05-26T12:19:50Z,12.0,5.0,Chocolatey automatic packages from tunisiano,False,PowerShell
3099,13317,13318,jelmer/dulwich,"['cpython', 'dulwich', 'git', 'pypy', 'python', 'python-3', 'version-control']",74.0,74.0,2022-06-04T16:18:06Z,2022-06-01T15:05:33Z,2009-03-22T05:09:18Z,358.0,1730.0,Pure-Python Git implementation,False,Python
3100,13320,13321,LibreSprite/LibreSprite,"['animation', 'cplusplus', 'cpp', 'drawing', 'graphics', 'pixel-art', 'pixel-editor', 'sprites']",31.0,31.0,2022-02-12T15:40:59Z,2022-06-04T03:26:54Z,2016-08-31T17:26:42Z,150.0,2468.0,Animated sprite editor & pixel art tool -- Fork of the last GPLv2 commit of Aseprite,False,C++
3101,13322,13323,leoarnold/puppet-cups,"['cups-daemon', 'cups-queues', 'cups-service', 'printer', 'printing', 'puppet', 'puppet-forge']",14.0,14.0,2022-06-01T23:20:24Z,2022-01-02T17:20:49Z,2015-12-15T17:32:38Z,28.0,7.0,Puppet module for the Common Unix Printing System (CUPS),False,Ruby
3102,13326,13327,webarkit/ARnft,"['arnft', 'artoolkit5', 'augmentedreality', 'es6', 'hacktoberfest', 'javascript', 'jsartoolkit', 'jsartoolkitnft', 'markerless', 'naturalfeaturetracking', 'nft', 'webar']",22.0,22.0,2022-03-29T16:45:00Z,2022-06-03T09:03:10Z,2020-04-21T23:26:42Z,43.0,168.0,A small javascript library for WebAR with NFT,False,TypeScript
3103,13327,13328,sass/sassc,[],35.0,35.0,2021-05-21T01:22:50Z,2022-05-11T21:23:48Z,2012-04-22T20:17:56Z,130.0,764.0,libsass command line driver,False,C
3104,13330,13331,elixir-europe/rdmkit,"['data-management', 'research']",23.0,23.0,2022-06-01T10:49:16Z,2022-05-13T10:28:49Z,2020-06-30T15:37:56Z,83.0,48.0,ELIXIR Data Management Toolkit - Find the answers to your research data management questions here.,False,HTML
3105,13334,13335,PsrSigSim/PsrSigSim,[],18.0,18.0,2021-02-12T20:06:53Z,2022-05-10T22:30:27Z,2016-11-04T20:45:25Z,18.0,15.0,The first version of our pulsar signal simulator. ,False,Python
3106,13354,13355,Swift-open-source/UltraTabSaver,"['app', 'apple', 'appstore', 'begginer-friendly', 'clipboard', 'extension-icon', 'free', 'mac', 'macos', 'macosx', 'open-source', 'opensource', 'safari', 'safari-extension', 'swift', 'tabs-management']",6.0,6.0,2020-09-12T00:26:49Z,2022-06-04T12:28:57Z,2020-04-08T15:55:11Z,19.0,218.0,The open source Tab Manager Extension for Safari.,False,Swift
